code,uiccode,irailid
404,8872413,BE.NMBS.008872413
405,8864923,BE.NMBS.008864923
406,8861135,BE.NMBS.008861135
409,8866845,BE.NMBS.008866845
410,8811767,BE.NMBS.008811767
412,8871688,BE.NMBS.008871688
413,8871514,BE.NMBS.008871514
414,8814118,BE.NMBS.008814118
415,8814373,BE.NMBS.008814373
418,8864311,BE.NMBS.008864311
421,8844255,BE.NMBS.008844255
422,8881570,BE.NMBS.008881570
423,8844347,BE.NMBS.008844347
424,8861143,BE.NMBS.008861143
427,8885068,BE.NMBS.008885068
432,8895620,BE.NMBS.008895620
433,8811742,BE.NMBS.008811742
434,8892643,BE.NMBS.008892643
435,8865649,BE.NMBS.008865649
436,8832433,BE.NMBS.008832433
438,8861200,BE.NMBS.008861200
442,8863834,BE.NMBS.008863834
446,8881562,BE.NMBS.008881562
447,8893179,BE.NMBS.008893179
449,8893120,BE.NMBS.008893120
455,8892007,BE.NMBS.008892007
457,8811528,BE.NMBS.008811528
458,8895505,BE.NMBS.008895505
459,8844420,BE.NMBS.008844420
462,8881125,BE.NMBS.008881125
470,8841731,BE.NMBS.008841731
471,8871381,BE.NMBS.008871381
472,8863560,BE.NMBS.008863560
474,8893047,BE.NMBS.008893047
477,8845005,BE.NMBS.008845005
478,8849072,BE.NMBS.008849072
479,8871373,BE.NMBS.008871373
480,8865615,BE.NMBS.008865615
486,8811445,BE.NMBS.008811445
488,8812229,BE.NMBS.008812229
489,8864337,BE.NMBS.008864337
493,8822517,BE.NMBS.008822517
494,8895869,BE.NMBS.008895869
496,8866142,BE.NMBS.008866142
501,8884327,BE.NMBS.008884327
502,8866530,BE.NMBS.008866530
504,8814308,BE.NMBS.008814308
507,8822533,BE.NMBS.008822533
510,8842846,BE.NMBS.008842846
514,8873387,BE.NMBS.008873387
515,8861168,BE.NMBS.008861168
518,8891165,BE.NMBS.008891165
519,8884640,BE.NMBS.008884640
520,8896115,BE.NMBS.008896115
521,8811130,BE.NMBS.008811130
523,8831005,BE.NMBS.008831005
530,8843349,BE.NMBS.008843349
532,8864832,BE.NMBS.008864832
535,8881430,BE.NMBS.008881430
539,8821519,BE.NMBS.008821519
540,8891645,BE.NMBS.008891645
541,8821832,BE.NMBS.008821832
542,8812153,BE.NMBS.008812153
546,8824224,BE.NMBS.008824224
550,8883022,BE.NMBS.008883022
553,8811288,BE.NMBS.008811288
554,8821717,BE.NMBS.008821717
559,8895646,BE.NMBS.008895646
560,8885753,BE.NMBS.008885753
562,8841608,BE.NMBS.008841608
563,8895430,BE.NMBS.008895430
565,8832243,BE.NMBS.008832243
566,8822459,BE.NMBS.008822459
567,8833126,BE.NMBS.008833126
568,8895422,BE.NMBS.008895422
570,8824158,BE.NMBS.008824158
572,8811460,BE.NMBS.008811460
574,8822277,BE.NMBS.008822277
578,8814159,BE.NMBS.008814159
579,8842655,BE.NMBS.008842655
583,8886553,BE.NMBS.008886553
585,8871829,BE.NMBS.008871829
589,8863842,BE.NMBS.008863842
590,8821337,BE.NMBS.008821337
591,8814415,BE.NMBS.008814415
592,8843307,BE.NMBS.008843307
598,8849023,BE.NMBS.008849023
600,8895844,BE.NMBS.008895844
601,8895729,BE.NMBS.008895729
602,8896503,BE.NMBS.008896503
604,8896925,BE.NMBS.008896925
606,8896909,BE.NMBS.008896909
610,8863354,BE.NMBS.008863354
611,8863115,BE.NMBS.008863115
612,8871175,BE.NMBS.008871175
615,8884566,BE.NMBS.008884566
617,8864006,BE.NMBS.008864006
619,8843158,BE.NMBS.008843158
620,8874724,BE.NMBS.008874724
621,8812047,BE.NMBS.008812047
628,8881166,BE.NMBS.008881166
629,8844321,BE.NMBS.008844321
630,8821444,BE.NMBS.008821444
632,8821535,BE.NMBS.008821535
634,8822053,BE.NMBS.008822053
635,8821659,BE.NMBS.008821659
636,8832375,BE.NMBS.008832375
637,8821451,BE.NMBS.008821451
642,8891660,BE.NMBS.008891660
643,8892320,BE.NMBS.008892320
644,8821311,BE.NMBS.008821311
647,8892403,BE.NMBS.008892403
648,8811254,BE.NMBS.008811254
649,8896008,BE.NMBS.008896008
650,8896008,BE.NMBS.008896008
654,8893567,BE.NMBS.008893567
664,8871670,BE.NMBS.008871670
672,8811510,BE.NMBS.008811510
673,8882107,BE.NMBS.008882107
675,8821089,BE.NMBS.008821089
682,8892056,BE.NMBS.008892056
683,8871837,BE.NMBS.008871837
684,8833605,BE.NMBS.008833605
