station_name_nmbs,station_uic,avg_week,avg_sat,avg_sun
ESSENE-LOMBEEK,8812260,176,22,25
ETTERBEEK,8811411,4.264,819,767
EUPEN,8844628,205,162,152
EVERE,8811106,426,49,35
EVERGEM,8893252,254,61,20
EZEMAAL,8833449,122,121,96
FAMILLEUREUX,8883238,47,-,-
FARCIENNES,8874567,120,76,56
FAUX,8872611,86,25,17
FEXHE-LE-HT-CLOCHER,8841467,134,27,22
FLAWINNE,8861127,41,37,36
FLEMALLE-GRANDE,8843166,74,15,15
FLEMALLE-HAUTE,8843208,884,226,172
FLEURUS,8872413,297,114,95
FLOREFFE,8861135,149,51,44
FLORENVILLE,8866845,133,25,68
FLORIVAL,8811767,77,17,22
FONTAINE-VALMONT,8871688,72,28,14
FORCHIES,8871514,90,27,9
FOREST-EST/VORST-OOST,8814118,261,152,54
FOREST-MIDI/VORST-ZUID,8814373,197,42,18
FORRIERES,8864311,43,13,7
FRAIPONT,8844255,65,40,26
FRAMERIES,8881570,198,-,-
FRANCHIMONT,8844347,383,59,35
FRANIERE,8861143,96,58,51
FROYENNES,8885068,592,33,18
GALMAARDEN,8895620,225,43,36
GASTUCHE,8811742,168,51,50
GAVERE-ASPER,8892643,329,101,62
GEDINNE,8865649,96,53,57
GEEL,8832433,1.141,120,128
GEMBLOUX,8861200,3.095,1.197,952
GENDRON-CELLES,8863834,21,31,62
GENK,8831765,695,325,764
GENLY,8881562,85,-,-
GENTBRUGGE,8893179,317,137,89
GENT-DAMPOORT,8893120,4.183,1.516,1.271
GENT-SINT-PIETERS,8892007,25.717,13.211,12.766
GENVAL,8811528,915,274,256
GERAARDSBERGEN,8895505,2.093,627,581
GERMOIR/MOUTERIJ,8811403,324,53,51
GHLIN,8881125,30,-,-
GLONS,8841731,68,13,10
GODARVILLE,8871381,58,13,14
GODINNE,8863560,273,136,153
GONTRODE,8893047,88,36,28
GOUVY,8845005,211,64,133
GOUY-LEZ-PIETON,8871373,56,14,16
GRAIDE,8865615,49,28,72
GROENENDAAL,8811445,357,130,123
GROOT-BIJGAARDEN,8812229,332,44,39
GRUPONT,8864337,35,16,15
HAACHT,8822517,344,58,57
HAALTERT,8895869,240,91,88
HABAY,8866142,41,8,9
HAININ,8884327,66,35,12
HALANZY,8866530,56,-,-
HALLE,8814308,5.458,1.951,1.550
HAMBOS,8822533,23,-,-
HAMOIR,8842846,149,48,52
HAMONT,8832664,98,22,101
HAM-SUR-HEURE,8873387,71,19,21
HANSBEKE,8891165,145,45,53
HARCHIES,8884640,10,-,-
HARELBEKE,8896115,675,178,202
HAREN,8811155,174,28,22
HAREN-ZUID/SUD,8811130,454,181,104
HASSELT,8831005,4.226,3.304,4.055
HAUTE-FLONE,8843349,68,17,7
HAVERSIN,8864832,68,14,13
HAVRE,8881430,61,21,15
HEIDE,8821519,675,285,270
HEIST,8891645,293,166,99
HEIST-OP-DEN-BERG,8821832,1.133,578,607
HEIZIJDE,8812153,171,77,41
HEMIKSEM,8824224,176,84,79
HENNUYERES,8883022,287,92,74
HERENT,8811288,305,140,67
HERENTALS,8821717,2.261,2.467,2.259
HERGENRATH,8844644,21,21,21
HERNE,8895646,239,54,52
HERSEAUX,8885753,459,122,136
HERSTAL,8841608,232,161,124
HERZELE,8895430,276,108,121
HEUSDEN,8832243,86,44,25
HEVER,8822459,65,-,-
HEVERLEE,8833126,426,77,60
HILLEGEM,8895422,87,-,-
HOBOKEN-POLDER,8824158,211,91,63
HOEILAART,8811460,160,88,74
HOFSTADE,8822277,35,-,-
HOLLEKEN,8814159,102,79,34
HONY,8842655,38,18,16
HOURAING,8886553,107,54,41
HOURPES,8871829,8,-,-
HOUYET,8863842,67,38,33
HOVE,8821337,298,155,80
HUIZINGEN,8814415,246,29,25
HUY,8843307,1.465,569,516
IDDERGEM,8895844,131,40,36
IDEGEM,8895729,141,42,34
IEPER,8896503,936,399,436
INGELMUNSTER,8896925,502,199,307
IZEGEM,8896909,929,358,363
JAMBES,8863115,834,289,280
JAMBES-EST,8863354,153,25,13
JAMIOULX,8871175,31,4,10
JEMAPPES,8884566,418,153,121
JEMEPPE-SUR-MEUSE,8843158,87,35,16
JEMEPPE-SUR-SAMBRE,8874724,280,149,137
JETTE,8812047,2.116,641,526
JURBISE,8881166,1.054,488,351
JUSLENVILLE,8844321,94,42,39
KALMTHOUT,8821444,550,211,214
KAPELLEN,8821535,954,345,347
KAPELLE-OP-DEN-BOS,8822053,235,125,120
KESSEL,8821659,232,94,115
KIEWIT,8832375,267,32,95
KIJKUIT,8821451,151,63,52
KNOKKE,8891660,537,294,160
KOKSIJDE,8892320,229,113,295
KONTICH-LINT,8821311,540,314,146
KORTEMARK,8892403,381,180,330
KORTENBERG,8811254,406,201,127
KORTRIJK,8896008,6.310,2.723,2.785
KWATRECHT,8893567,81,20,25
LA HULPE,8811510,833,206,157
LA LOUVIERE-CENTRE,8882107,950,643,500
LA LOUVIERE-SUD,8882206,1.853,1.004,843
LA ROCHE,8872587,118,18,25
LABUISSIERE,8871670,59,26,8
LANDEGEM,8892056,351,87,72
LANDELIES,8871837,55,16,10
LANDEN,8833605,1.522,622,693
LANDSKOUTER,8893054,46,-,-
LANGDORP,8833258,101,53,28
LE CAMPINAIRE,8874559,41,-,-
LEBBEKE,8812161,227,74,63
LEDE,8895067,818,339,293
LEIGNON,8864816,20,5,5
LEMAN,8843224,44,-,-
LEMBEEK,8814332,485,175,95
LENS,8881190,114,18,19
LEOPOLDSBURG,8832003,280,131,75
LESSINES,8886504,499,234,154
LEUVEN,8833001,18.054,7.356,5.727
LEUZE,8886348,1.217,722,591
LEVAL,8882339,79,31,31
LIBRAMONT,8865003,1.464,635,1.094
LICHTERVELDE,8892205,2.656,1.432,2.116
LIEDEKERKE,8895836,1.216,606,523
LIEGE-CARRE,8841558,957,439,340
LIEGE-GUILLEMINS,8841004,10.938,6.442,6.547
LIEGE-SAINT-LAMBERT,8841525,1.843,974,794
LIER,8821600,3.692,1.462,1.720
LIERDE,8895570,277,48,74
LIERS,8841673,161,54,35
LIGNY,8872520,98,27,18
LILLOIS,8814241,413,101,57
LIMAL,8811635,248,57,38
LINKEBEEK,8814142,634,264,146
LISSEWEGE,8891629,130,49,42
LOBBES,8871712,121,42,25
LODELINSART,8872306,67,16,17
LOKEREN,8894201,3.281,1.237,1.142
LOMMEL,8832565,303,71,165
LONDERZEEL,8822111,569,151,175
LONZEE,8861416,95,31,10
LOT,8814357,455,195,90
LOUVAIN-LA-NEUVE,8811676,3.924,1.632,1.051
LUSTIN,8863156,240,115,131
LUTTRE,8871308,1.264,472,437
MAFFLE,8886041,87,26,22
MALDEREN,8822137,207,88,87
MANAGE,8882701,204,46,39
